# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ; eΓ; C; eC [calculated 2025-02-12T15:11:59.191]
10; 0.10714285714285714; -0.749761027185088; -0.0016778481906984943; -0.0024541873188537178; [0.24764237116641058, 0.27024895789851117, 0.25689706207648694, 0.2676967120540201, 0.2636954421410792, 0.2637119606531282, 0.2681546729100203, 0.2572558776338931, 0.27014535268603596, 0.24869236874385042]; [0.4514247983040412, 0.29486238469308373, 0.2291780071619488]; [0.00932165694380415, 0.0062466749993158105, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.11428571428571428; -0.812025844232169; 6.393821857753057e-5; -3.976834990926381e-5; [0.2531379292269369, 0.2723284830372649, 0.2614198525876986, 0.2732606801406476, 0.2673110610201113, 0.267304923182957, 0.2732603391175488, 0.2614451626329308, 0.2723225581943165, 0.25314062218858263]; [0.45659699492414313, 0.3037027404765517, 0.24309683966736362]; [0.010264211471739134, 0.0054283656847949275, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.12142857142857143; -0.871280455442905; -0.0001615187118862993; 0.00013911336547955955; [0.2543336656770078, 0.27464549184919645, 0.2646683064642041, 0.2760190172005932, 0.270341973755355, 0.2703461377315894, 0.27604765184421487, 0.26467613382350275, 0.2746190644698704, 0.25436484652815405]; [0.4641167809835226, 0.3123385869094549, 0.25088815771867057]; [0.00919426284142219, 0.004869356104444092, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.12857142857142856; -0.9316663897517663; 0.00011822547193296451; 0.000876725424393876; [0.25565120176889394, 0.27683380052530293, 0.26802364779555365, 0.279101882240499, 0.2734312652475547, 0.27342667767762135, 0.2791074749619644, 0.2680196813836605, 0.2768257758271179, 0.2556537583606755]; [0.4707699818991743, 0.32051175045940594, 0.25897950378002815]; [0.00852455420427323, 0.004302605528708403, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.1357142857142857; -0.9904576010434081; -0.002112760475312281; -0.0001848941092656986; [0.2501839410800282, 0.2811333574414298, 0.2701765469599513, 0.2755269929013937, 0.27638714948209825, 0.27612624660981083, 0.27630200870918464, 0.27061116796357815, 0.28094686921896694, 0.25125546086054196]; [0.4922937993143616, 0.3376730580949639, 0.2645355329437741]; [0.004564940416320104, 0.005241046075250911, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.14285714285714285; -1.0547383518674511; 0.00033861574189497645; 0.00040472582696038373; [0.2370908236208712, 0.2838475839257858, 0.2711186293569732, 0.26705309746067984, 0.27724323864128797, 0.27724309386676455, 0.2670541071027518, 0.27111800995375845, 0.2838478262822149, 0.2370924213926323]; [0.5179824802874684, 0.35860240862636633, 0.2746884767860189]; [0.007987480057699661, 0.006467898940455064, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.15; -1.12219730236307; 0.0038369421403314785; 0.0017257842202593743; [0.24123122661803142, 0.28749162253327826, 0.2754895619424599, 0.2722064137285297, 0.28164374042584955, 0.28164048905623096, 0.2722180972320418, 0.27547947852785437, 0.28748884120989054, 0.24124440738759645]; [0.5268742356939506, 0.368440410969425, 0.28474054828091216]; [0.007284262466611962, 0.006251508961579353, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.15714285714285714; -1.190890561129461; 0.007055251198419654; 0.00017459312940837357; [0.24419337379069345, 0.2910794397049111, 0.2796494772493142, 0.2766618222019632, 0.28589926286726547, 0.2858982996905991, 0.2766654787317542, 0.2796436162617483, 0.29107537677446216, 0.24419483128082947]; [0.5363570238432, 0.37866475865488963, 0.29466556589494086]; [0.006872635936562714, 0.006112720507328145, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.16428571428571428; -1.260513714134123; 0.0026646942402619445; 0.002478750324946155; [0.2475723723018306, 0.29466244990823237, 0.2839798507049571, 0.2815253877171007, 0.29027812074590353, 0.29027809246174496, 0.2815295232267794, 0.28398051885737674, 0.2946618640257645, 0.24756502926150165]; [0.5449849726566546, 0.3883494241275291, 0.30448680266675315]; [0.006360128139380764, 0.005921581502466333, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.17142857142857143; -1.328689294211886; -0.002306579958094801; -0.0023741009798456947; [0.2532109861506743, 0.29859426129289846, 0.28934572282384596, 0.28795166964131125, 0.29494144418254753, 0.2949765996092387, 0.2882231146777452, 0.28911894316680264, 0.29798998897703194, 0.2533876237057293]; [0.5499633449402053, 0.39597833628721046, 0.31476767194362804]; [0.005143865958091368, 0.005319828982141064, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.17857142857142858; -1.402481554225106; 0.0003460022722070466; 1.2981797086197844e-6; [0.25398275926072583, 0.3016884925825731, 0.29270457145816875, 0.29131972007484497, 0.2990694576005676, 0.29906949896307244, 0.2913198700590717, 0.292704563837462, 0.30168868669906673, 0.253982787189983]; [0.5610354068881053, 0.4068655471341162, 0.32351546936453895]; [0.005407947636301805, 0.00549314384677233, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.18571428571428572; -1.4747426099325773; 0.0002560867349510332; 0.00011616791830704187; [0.2569263677000227, 0.3051126634007413, 0.29705975461630196, 0.296165991803123, 0.303444977049558, 0.30344509691235466, 0.296166302628599, 0.29705995579502975, 0.30511269516210865, 0.2569263744548529]; [0.5685593656158597, 0.4157448965767952, 0.332732604636024]; [0.004986642162232899, 0.005278975769283092, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.19285714285714287; -1.5337921764447056; -0.01391322570724518; -0.013926884893195268; [0.24768290083462158, 0.3067134059503265, 0.3047310793433592, 0.30237187844654967, 0.30333524808940904, 0.30307771319601595, 0.30194711467230284, 0.3048809627941236, 0.30664357365536854, 0.2467784318789329]; [0.600780430768801, 0.43508149742491975, 0.3568268417933093]; [0.0005272596020515901, 0.000397850416242134, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.2; -1.6214573050003587; 0.0003844039792628706; 7.128413749901696e-5; [0.2621454814905984, 0.31180323811425187, 0.30578929384300324, 0.3057406039812012, 0.3120893843448458, 0.3120920037295304, 0.30574586666174397, 0.3058121267313716, 0.311793388949621, 0.26216260110592104]; [0.5832336765114567, 0.4330271302546458, 0.3508608048228801]; [0.004191935828446889, 0.004764215381111792, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
