# Hubbard model DMRG. L=10, N=10, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance, <a_i> [calculated 2025-02-12T15:48:24.307 @site  i=5]
0.017948717948717947, 0.10256410256410256, -0.938533768651095, 0.01686683616775042, -0.11654993029094551 # MI
0.017948717948717947, 0.1282051282051282, -1.2177590335885078, 0.022253913212092025, 0.1304159422923246 # MI
0.017948717948717947, 0.15384615384615385, -1.5415404893652054, 0.0031142159807304726, 0.02350856250210024 # MI
0.017948717948717947, 0.1794871794871795, -1.7966837353633416, 0.010036669875428617, 0.08861021605322449 # MI
0.017948717948717947, 0.20512820512820512, -2.058142368706568, 0.0025930855208539105, -0.0015145921663194896 # MI
0.017948717948717947, 0.23076923076923078, -2.3192792968380473, 0.0025746902755887646, 4.752434521781403e-5 # MI
0.017948717948717947, 0.2564102564102564, -2.575500033121245, 0.0027131307482661793, -0.012019390572146004 # MI
0.017948717948717947, 0.28205128205128205, -2.832105451185481, 0.0025747352813236812, 3.3874296611221835e-6 # MI
0.017948717948717947, 0.3076923076923077, -3.088515700878764, 0.002574739492635203, -3.9883089467369545e-5 # MI
0.017948717948717947, 0.3333333333333333, -3.344914802270376, 0.0025747353158569464, -3.5485466803456384e-7 # MI
0.017948717948717947, 0.358974358974359, -3.6013362206507953, 0.0025747363602819373, -1.853093278703877e-6 # MI
0.017948717948717947, 0.38461538461538464, -3.857746469001076, 0.0025747353929874706, -1.936496331580348e-7 # MI
0.017948717948717947, 0.41025641025641024, -4.114156733187095, 0.002574735238397796, 5.4670274285874494e-8 # MI
0.017948717948717947, 0.4358974358974359, -4.370566989966306, 0.002574735027105479, -3.7360248970296255e-10 # MI
0.017948717948717947, 0.46153846153846156, -4.626977246369577, 0.0025747349709688283, -3.2300219379592024e-11 # MI
0.017948717948717947, 0.48717948717948717, -4.88338750277892, 0.0025747349619487103, 7.600484205595331e-10 # MI
0.017948717948717947, 0.5128205128205128, -5.139797759189585, 0.0025747350541036607, -5.640596060667711e-10 # MI
0.017948717948717947, 0.5384615384615384, -5.396208015595385, 0.0025747351180946954, -2.936607057192977e-9 # MI
0.017948717948717947, 0.5641025641025641, -5.652618272001769, 0.002574735465046274, 9.651867946342768e-8 # MI
0.017948717948717947, 0.5897435897435898, -5.909028528416464, 0.002574735067276679, -7.036859517447805e-8 # MI
0.017948717948717947, 0.6153846153846154, -6.165438784826806, 0.0025747351829352727, 5.1342503122105374e-8 # MI
0.017948717948717947, 0.6410256410256411, -6.421849040046112, 0.002574735227923064, 1.3062670156309087e-6 # MI
0.017948717948717947, 0.6666666666666666, -6.6782592975535735, 0.00257473519877216, -1.579092765042047e-7 # MI
0.017948717948717947, 0.6923076923076923, -6.934669553631117, 0.002574735395219019, -1.0666048048014318e-6 # MI
0.017948717948717947, 0.717948717948718, -7.19107981007547, 0.0025747350314522244, -3.124383681778988e-6 # MI
0.017948717948717947, 0.7435897435897436, -7.447474277263319, 0.00257487506400067, 0.00021002611107510878 # MI
0.017948717948717947, 0.7692307692307693, -7.703895198737811, 0.002574814961086025, 7.990650978669654e-5 # MI
0.017948717948717947, 0.7948717948717948, -7.960028226754618, 0.002574947220050472, -9.814034782770133e-5 # MI
0.017948717948717947, 0.8205128205128205, -8.216317880995733, 0.0026642213512180213, -0.011318326087414865 # MI
0.017948717948717947, 0.8461538461538461, -8.472603749945606, 0.003256971463994729, -0.03695853696639562 # MI
0.017948717948717947, 0.8717948717948718, -8.717863302182396, 0.01907749562319916, -0.18391375217857997 # MI
0.017948717948717947, 0.8974358974358975, -8.94811996746993, 0.07585488961000775, 0.3498138571802259 # MI
0.017948717948717947, 0.9230769230769231, -9.209434400251759, 0.02576542298776685, -0.13346289909771047 # MI
0.017948717948717947, 0.9487179487179487, -9.519608501939235, 0.2245975845642545, -0.04372818096403301 # SF
0.017948717948717947, 0.9743589743589743, -9.857482358239626, 0.24450519795149694, -0.13877222537728878 # SF
0.017948717948717947, 1.0, -10.225427857418032, 0.25058698775664245, 0.20622789924155627 # SF
0.026923076923076925, 0.0, -0.14306195788397602, 0.2511868924913724, 0.19857439454068188 # SF
0.026923076923076925, 0.02564102564102564, -0.3050219152715593, 0.21636329950530103, -0.19983845473974807 # SF
0.026923076923076925, 0.05128205128205128, -0.4146974890379546, 0.06929799287038207, 0.18734498408973305 # MI
0.026923076923076925, 0.07692307692307693, -0.6815280050542762, 0.14688606077941058, -0.33558480658407847 # MI
0.026923076923076925, 0.10256410256410256, -1.0130116341428026, 0.027036570555050154, -0.15905819637142865 # MI
0.026923076923076925, 0.1282051282051282, -1.1107724591384622, 0.1145423835703615, 0.0008917048043394314 # MI
0.026923076923076925, 0.15384615384615385, -1.5073151010882704, 0.07593207816453063, -0.26175742858877965 # MI
0.026923076923076925, 0.1794871794871795, -1.8056222997059912, 0.021830306701814073, 0.13884236218762536 # MI
0.026923076923076925, 0.20512820512820512, -2.0743282184453973, 0.005803426965285463, -0.005344848947384328 # MI
0.026923076923076925, 0.23076923076923078, -2.332643725910735, 0.007205517837778785, -0.040826278039889315 # MI
0.026923076923076925, 0.2564102564102564, -2.5901715781374457, 0.00578626550390593, 0.000507804861326915 # MI
0.026923076923076925, 0.28205128205128205, -2.846579464486979, 0.005785894468768538, -1.1545365166110385e-5 # MI
0.026923076923076925, 0.3076923076923077, -3.102989605469803, 0.005785932709050368, -1.695582462512559e-5 # MI
0.026923076923076925, 0.3333333333333333, -3.3594011827525954, 0.005785984487427953, -3.635262897165775e-5 # MI
0.026923076923076925, 0.358974358974359, -3.6158128114805663, 0.005785911683615197, 1.1167408978467462e-7 # MI
0.026923076923076925, 0.38461538461538464, -3.8722230678573593, 0.0057859115530740635, 2.825444289629525e-8 # MI
0.026923076923076925, 0.41025641025641024, -4.128633324387541, 0.005785911056837012, 2.3535308276270312e-8 # MI
0.026923076923076925, 0.4358974358974359, -4.385043587255475, 0.005785928742691793, 7.228534505301788e-8 # MI
0.026923076923076925, 0.46153846153846156, -4.641453837156601, 0.005785911331933846, -3.4083418802510737e-9 # MI
0.026923076923076925, 0.48717948717948717, -4.897864096744056, 0.005785911952948197, -2.372017891473241e-9 # MI
0.026923076923076925, 0.5128205128205128, -5.1542743499490795, 0.005785912059621978, 5.882321478737837e-8 # MI
0.026923076923076925, 0.5384615384615384, -5.410684606415321, 0.005785912303610363, -3.103556503263104e-9 # MI
0.026923076923076925, 0.5641025641025641, -5.667094862748885, 0.005785909632940678, 1.1847476078318223e-8 # MI
0.026923076923076925, 0.5897435897435898, -5.923505119145308, 0.0057859082600033584, -4.053086006142634e-7 # MI
0.026923076923076925, 0.6153846153846154, -6.179915375530879, 0.005785912182793007, -1.6672180368793822e-7 # MI
0.026923076923076925, 0.6410256410256411, -6.436325635191477, 0.005785923859064512, -4.631535505027885e-7 # MI
0.026923076923076925, 0.6666666666666666, -6.6927359055352404, 0.005785954828910311, -7.887933013671475e-5 # MI
0.026923076923076925, 0.6923076923076923, -6.949139807802374, 0.0057878492582077445, -0.002477544955407992 # MI
