# Hubbard model DMRG. L=16, N=16, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance [calculated 2025-02-11T12:15:39.380 @site  i=8]
0.2026315789473684, 0.5736842105263158, -12.062892866344596, 0.3658135569468537 # MI
0.2026315789473684, 0.6210526315789474, -13.090999957633723, 0.3874555523661607 # MI
0.2026315789473684, 0.6684210526315789, -14.151227538190524, 0.4054857055358878 # MI
0.2026315789473684, 0.7157894736842105, -15.228187580138806, 0.41795867542528553 # SF
0.2026315789473684, 0.7631578947368421, -16.34583481267295, 0.4295887911421219 # SF
0.2026315789473684, 0.8105263157894737, -17.4962142216529, 0.4378745444925314 # SF
0.2026315789473684, 0.8578947368421053, -18.691321331946334, 0.4470543029931986 # SF
0.2026315789473684, 0.9052631578947369, -19.922904176176257, 0.44705666440958236 # SF
0.2026315789473684, 0.9526315789473684, -21.19921093185742, 0.45394473359629517 # SF
0.2026315789473684, 1.0, -22.512307864061977, 0.4589303984335751 # SF
0.22105263157894736, 0.1, -4.3266969770821575, 0.3046058149055323 # SF
0.22105263157894736, 0.14736842105263157, -5.076531980230529, 0.3007642134105746 # MI
0.22105263157894736, 0.19473684210526315, -5.834426716903064, 0.3007642121427574 # MI
0.22105263157894736, 0.24210526315789474, -6.5923214535587915, 0.30076420945618976 # MI
0.22105263157894736, 0.2894736842105263, -7.350216190280371, 0.30076420579971597 # MI
0.22105263157894736, 0.3368421052631579, -8.108110927108454, 0.3007642048329131 # MI
0.22105263157894736, 0.38421052631578945, -8.866005663870196, 0.30076420579650276 # MI
0.22105263157894736, 0.43157894736842106, -9.836621668973699, 0.34931185025967926 # MI
0.22105263157894736, 0.4789473684210526, -10.694432618028026, 0.3552539282226632 # MI
0.22105263157894736, 0.5263157894736842, -11.646026172105625, 0.37921835698574213 # MI
0.22105263157894736, 0.5736842105263158, -12.67990226800952, 0.4066090218729559 # MI
0.22105263157894736, 0.6210526315789474, -13.712737957409669, 0.42359501689454127 # MI
0.22105263157894736, 0.6684210526315789, -14.774927660304424, 0.4325650777370753 # SF
0.22105263157894736, 0.7157894736842105, -15.881805278822283, 0.4484303311075992 # SF
0.22105263157894736, 0.7631578947368421, -17.01869470896068, 0.4484801309502693 # SF
0.22105263157894736, 0.8105263157894737, -18.20175257438866, 0.45854187656454215 # SF
0.22105263157894736, 0.8578947368421053, -19.421673518347585, 0.46708327227430324 # SF
0.22105263157894736, 0.9052631578947369, -20.677849372303967, 0.47468779286159535 # SF
0.22105263157894736, 0.9526315789473684, -21.970526955300787, 0.4807718264683709 # SF
0.22105263157894736, 1.0, -23.296845751224463, 0.4807830164962055 # SF
0.2394736842105263, 0.1, -4.740307057655398, 0.3300805824979307 # SF
0.2394736842105263, 0.14736842105263157, -5.498201794379054, 0.3300805819283703 # SF
0.2394736842105263, 0.19473684210526315, -6.256096527058629, 0.3300805764045043 # MI
0.2394736842105263, 0.24210526315789474, -7.013991270547538, 0.3300805662227222 # MI
0.2394736842105263, 0.2894736842105263, -7.7718860073246905, 0.33008056320806833 # MI
0.2394736842105263, 0.3368421052631579, -8.529780744524103, 0.33008055520568336 # MI
0.2394736842105263, 0.38421052631578945, -9.287675481662957, 0.33008055516407575 # MI
0.2394736842105263, 0.43157894736842106, -10.337238677082727, 0.37624594209979856 # MI
0.2394736842105263, 0.4789473684210526, -11.2889596256762, 0.39895236971598336 # MI
0.2394736842105263, 0.5263157894736842, -12.271077644663208, 0.4149715663861606 # MI
0.2394736842105263, 0.5736842105263158, -13.257979119294628, 0.4225990588913444 # MI
0.2394736842105263, 0.6210526315789474, -14.335860044385454, 0.44125146624727263 # MI
0.2394736842105263, 0.6684210526315789, -15.437476323556991, 0.45503391293219897 # SF
0.2394736842105263, 0.7157894736842105, -16.566266256687328, 0.46667511577101406 # SF
0.2394736842105263, 0.7631578947368421, -17.731396108355455, 0.47709366094757044 # SF
0.2394736842105263, 0.8105263157894737, -18.931594248733283, 0.48582993480706094 # SF
0.2394736842105263, 0.8578947368421053, -20.164294831089414, 0.4861809750338204 # SF
0.2394736842105263, 0.9052631578947369, -21.446392242582743, 0.4977181065694043 # SF
0.2394736842105263, 0.9526315789473684, -22.768565247365796, 0.5012226452568109 # SF
0.2394736842105263, 1.0, -24.123005024240044, 0.5076470038323082 # SF
0.2578947368421053, 0.1, -5.178580831522076, 0.3557295267330567 # SF
0.2578947368421053, 0.14736842105263157, -5.9364755682505805, 0.3557295245267651 # SF
0.2578947368421053, 0.19473684210526315, -6.694370304817594, 0.3557295248421479 # MI
0.2578947368421053, 0.24210526315789474, -7.452265041491533, 0.3557295261666187 # MI
0.2578947368421053, 0.2894736842105263, -8.210159778077173, 0.3557295230791686 # MI
0.2578947368421053, 0.3368421052631579, -8.968054523411839, 0.35572950198719666 # MI
0.2578947368421053, 0.38421052631578945, -9.99934178659909, 0.40454524803611536 # MI
0.2578947368421053, 0.43157894736842106, -10.87487540764076, 0.411288922960134 # MI
0.2578947368421053, 0.4789473684210526, -11.874716967866993, 0.42750369262615706 # MI
0.2578947368421053, 0.5263157894736842, -12.878229881933636, 0.4430715182332081 # MI
0.2578947368421053, 0.5736842105263158, -13.922314928635101, 0.45684679850702303 # MI
0.2578947368421053, 0.6210526315789474, -15.012099453981472, 0.47228706656758535 # SF
0.2578947368421053, 0.6684210526315789, -16.12418490913757, 0.48416516239758733 # SF
0.2578947368421053, 0.7157894736842105, -17.266998067870862, 0.4911888663154582 # SF
0.2578947368421053, 0.7631578947368421, -18.455832183292152, 0.4948777471712327 # SF
0.2578947368421053, 0.8105263157894737, -19.68618532117973, 0.5043747929842448 # SF
0.2578947368421053, 0.8578947368421053, -20.951749650440366, 0.513009418426337 # SF
0.2578947368421053, 0.9052631578947369, -22.24816626834626, 0.5196667994454818 # SF
0.2578947368421053, 0.9526315789473684, -23.582152873971815, 0.5246569167601698 # SF
0.2578947368421053, 1.0, -24.960007569466356, 0.5272726547816622 # SF
0.27631578947368424, 0.1, -5.630610599684493, 0.37806797264756176 # SF
0.27631578947368424, 0.14736842105263157, -6.388505336374225, 0.37806797246678436 # SF
0.27631578947368424, 0.19473684210526315, -7.146400072941304, 0.3780679672849101 # MI
0.27631578947368424, 0.24210526315789474, -7.904294809561441, 0.3780679705198371 # MI
0.27631578947368424, 0.2894736842105263, -8.662189546087351, 0.3780679670400804 # MI
0.27631578947368424, 0.3368421052631579, -9.649755953592681, 0.41471746689921996 # MI
0.27631578947368424, 0.38421052631578945, -10.551749691839829, 0.4287444650335277 # MI
0.27631578947368424, 0.43157894736842106, -11.416090716917545, 0.4266513655131994 # MI
0.27631578947368424, 0.4789473684210526, -12.489833087655335, 0.4556283453357568 # MI
0.27631578947368424, 0.5263157894736842, -13.497709566031398, 0.47053291582797807 # MI
0.27631578947368424, 0.5736842105263158, -14.577762768931025, 0.4763703615450334 # MI
0.27631578947368424, 0.6210526315789474, -15.686245626263732, 0.4890324867100082 # SF
0.27631578947368424, 0.6684210526315789, -16.828166350548113, 0.5010484680750706 # SF
0.27631578947368424, 0.7157894736842105, -18.005467126894295, 0.5118622514072313 # SF
0.27631578947368424, 0.7631578947368421, -19.2177376683571, 0.5216808353280182 # SF
0.27631578947368424, 0.8105263157894737, -20.45316067719294, 0.524754239823849 # SF
0.27631578947368424, 0.8578947368421053, -21.743660242399706, 0.5308807450386226 # SF
0.27631578947368424, 0.9052631578947369, -23.072032733504486, 0.5384650953346646 # SF
0.27631578947368424, 0.9526315789473684, -24.43381820616, 0.5456010165530687 # SF
0.27631578947368424, 1.0, -25.825253054423005, 0.5511964325545935 # SF
0.29473684210526313, 0.1, -6.0940577437771655, 0.3976445847665946 # SF
0.29473684210526313, 0.14736842105263157, -6.851952480315271, 0.3976445839074263 # SF
0.29473684210526313, 0.19473684210526315, -7.609847219968182, 0.397644533979582 # MI
