# Hubbard model DMRG. L=20, N=20, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
#J; μ; E; n_variance; <a_i> [calculated 2025-02-15T12:56:33.668 @site  i=10]
0.0; 0.9310344827586207; -18.620689655172413; 0.0; 0.0 # MI
0.0; 0.9655172413793104; -19.3103448275862; 0.0; 0.0 # MI
0.0; 1.0; -20.0; 0.0; 0.0 # MI
0.01206896551724138; 0.0; -0.11298819860846825; 0.19888167363000153; 0.0007420341142095841 # SF
0.01206896551724138; 0.034482758620689655; -0.7007234554566519; 0.0011647677975858972; -4.936480093617017e-11 # MI
0.01206896551724138; 0.06896551724137931; -1.3903786278733723; 0.0011647677987727256; 5.040899522200867e-13 # MI
0.01206896551724138; 0.10344827586206896; -2.080033800285402; 0.0011647678076729395; 5.9636243267186774e-12 # MI
0.01206896551724138; 0.13793103448275862; -2.769688972697259; 0.0011647678094544034; 4.720963702951423e-13 # MI
0.01206896551724138; 0.1724137931034483; -3.459344145110248; 0.0011647678072248535; 2.7820296443129327e-13 # MI
0.01206896551724138; 0.20689655172413793; -4.148999317525251; 0.0011647678177446608; -9.219646012110704e-16 # MI
0.01206896551724138; 0.2413793103448276; -4.838654489934523; 0.0011647677791681854; 2.85525279151078e-14 # MI
0.01206896551724138; 0.27586206896551724; -5.528309662351378; 0.0011647678148116736; 2.0787881797698036e-14 # MI
0.01206896551724138; 0.3103448275862069; -6.21796483476348; 0.001164767824924695; 1.8439037107774232e-14 # MI
0.01206896551724138; 0.3448275862068966; -6.907620007178528; 0.001164767824525459; 2.619568128741066e-15 # MI
0.01206896551724138; 0.3793103448275862; -7.597275179590836; 0.0011647678221242685; -4.768197345171693e-14 # MI
0.01206896551724138; 0.41379310344827586; -8.28693035200369; 0.0011647678229498304; -3.895331124509074e-14 # MI
0.01206896551724138; 0.4482758620689655; -8.97658552441582; 0.0011647678299360198; -5.797987326379519e-15 # MI
0.01206896551724138; 0.4827586206896552; -9.666240696830103; 0.0011647678335695577; 6.670609260410182e-14 # MI
0.01206896551724138; 0.5172413793103449; -10.355895869243703; 0.0011647678475819045; 3.4812434928045947e-13 # MI
0.01206896551724138; 0.5517241379310345; -11.045551041656196; 0.0011647678418014173; -2.6778236384437776e-13 # MI
0.01206896551724138; 0.5862068965517241; -11.735206214069827; 0.0011647678372055381; 5.23206357537653e-11 # MI
0.01206896551724138; 0.6206896551724138; -12.42486138648408; 0.0011647678414992146; 6.506977991190011e-12 # MI
0.01206896551724138; 0.6551724137931034; -13.114516558898114; 0.0011647678493196256; 3.1932994880600274e-10 # MI
0.01206896551724138; 0.6896551724137931; -13.804171731312618; 0.0011647678412451956; -1.7151827721280165e-10 # MI
0.01206896551724138; 0.7241379310344828; -14.493826903724415; 0.001164767842611436; -7.621890336674879e-11 # MI
0.01206896551724138; 0.7586206896551724; -15.183482076138482; 0.0011647678305650722; 2.664407146805191e-10 # MI
0.01206896551724138; 0.7931034482758621; -15.873137248552467; 0.001164767838349512; 1.2258692837508158e-10 # MI
0.01206896551724138; 0.8275862068965517; -16.56279242096636; 0.0011647678501371939; -5.898892085325154e-10 # MI
0.01206896551724138; 0.8620689655172413; -17.25244759338003; 0.0011647678255573002; -6.014446475257416e-10 # MI
0.01206896551724138; 0.896551724137931; -17.94210276579381; 0.0011647678470325662; -4.206532654069692e-10 # MI
0.01206896551724138; 0.9310344827586207; -18.631757938207517; 0.001164767836722369; -4.954407276336665e-10 # MI
0.01206896551724138; 0.9655172413793104; -19.342667760695846; 0.22175728810727713; -0.29868277316768277 # SF
0.01206896551724138; 1.0; -20.292489228311663; 0.24650208496592985; 0.15637358451659042 # SF
0.02413793103448276; 0.0; -0.2756793843108102; 0.24428219781218785; -0.2237863803055816 # SF
0.02413793103448276; 0.034482758620689655; -0.6742439450929041; 0.20747919013145322; 0.2753926678532009 # SF
0.02413793103448276; 0.06896551724137931; -1.4235608048392567; 0.004652815216840134; -9.923407261840169e-11 # MI
0.02413793103448276; 0.10344827586206896; -2.1132159772321817; 0.004652815586949632; 1.7724103352387152e-10 # MI
0.02413793103448276; 0.13793103448275862; -2.8028711497350365; 0.00465281576255383; 2.976221803808623e-11 # MI
0.02413793103448276; 0.1724137931034483; -3.4925263219712757; 0.00465281635606507; -5.401717857844797e-12 # MI
0.02413793103448276; 0.20689655172413793; -4.182181494460989; 0.0046528158485255044; 6.954972636585686e-11 # MI
0.02413793103448276; 0.2413793103448276; -4.871836666812754; 0.004652816553456951; -2.328969773431597e-12 # MI
0.02413793103448276; 0.27586206896551724; -5.561491839038071; 0.004652816450279262; -3.89558454805273e-12 # MI
0.02413793103448276; 0.3103448275862069; -6.251147011529049; 0.004652816906509205; 2.705722790037469e-13 # MI
0.02413793103448276; 0.3448275862068966; -6.94080218375509; 0.0046528164675934125; -5.612909568208953e-12 # MI
0.02413793103448276; 0.3793103448275862; -7.6304573563019344; 0.004652816916518088; -1.0094537005258354e-14 # MI
0.02413793103448276; 0.41379310344827586; -8.320112528627556; 0.0046528165776476005; -5.1085625451292656e-14 # MI
0.02413793103448276; 0.4482758620689655; -9.009767701015742; 0.004652816681853134; 3.317732774845315e-12 # MI
0.02413793103448276; 0.4827586206896552; -9.699422873383067; 0.004652817642055496; 9.029146145351956e-12 # MI
0.02413793103448276; 0.5172413793103449; -10.389078045793953; 0.004652818318277241; 3.220401582487737e-11 # MI
0.02413793103448276; 0.5517241379310345; -11.07873321821284; 0.0046528174014466295; 2.8557319903821248e-9 # MI
0.02413793103448276; 0.5862068965517241; -11.76838839061384; 0.004652818020095539; 9.202765029405345e-9 # MI
0.02413793103448276; 0.6206896551724138; -12.45804356297769; 0.004652817876567461; -3.0772121675502603e-9 # MI
0.02413793103448276; 0.6551724137931034; -13.147698735419711; 0.004652817755271155; -4.7753158318087006e-9 # MI
0.02413793103448276; 0.6896551724137931; -13.837353907789662; 0.0046528186474525945; -9.577286468451739e-9 # MI
0.02413793103448276; 0.7241379310344828; -14.52700908026523; 0.004652817782965224; -1.4922272062051874e-8 # MI
0.02413793103448276; 0.7586206896551724; -15.21666425262276; 0.004652817197140724; 1.156005340238556e-8 # MI
0.02413793103448276; 0.7931034482758621; -15.906319425063213; 0.004652818063401565; 2.2751607401346346e-9 # MI
0.02413793103448276; 0.8275862068965517; -16.595974597548437; 0.004652819218376125; -2.081936393213148e-8 # MI
0.02413793103448276; 0.8620689655172413; -17.285629769800885; 0.0046528171180726385; -6.423892195585372e-9 # MI
0.02413793103448276; 0.896551724137931; -17.97528494232381; 0.00465281744028756; 7.127572163009061e-9 # MI
0.02413793103448276; 0.9310344827586207; -18.733255425807606; 0.17589961442399193; -0.33403337097185876 # SF
0.02413793103448276; 0.9655172413793104; -19.64032401605625; 0.24775875562253624; -0.2244826851026374 # SF
0.02413793103448276; 1.0; -20.646598035241986; 0.25531091234530523; -0.3784951669544942 # SF
0.03620689655172414; 0.0; -0.4531365509019918; 0.2527883072771055; -0.0660580537807798 # SF
0.03620689655172414; 0.034482758620689655; -0.8869048953969897; 0.23579691086400706; 0.0572389816256714 # SF
0.03620689655172414; 0.06896551724137931; -1.478789314267953; 0.010445587938133327; -2.270919326698374e-12 # MI
0.03620689655172414; 0.10344827586206896; -2.168444486681735; 0.010445587935866252; 3.6873744740716667e-13 # MI
0.03620689655172414; 0.13793103448275862; -2.8580996590955348; 0.010445587939030165; -1.3233724331866831e-15 # MI
0.03620689655172414; 0.1724137931034483; -3.5477548315093297; 0.010445587938040957; -6.454735109625172e-14 # MI
0.03620689655172414; 0.20689655172413793; -4.23741000392308; 0.010445587941384948; 3.3916514493196678e-15 # MI
0.03620689655172414; 0.2413793103448276; -4.927065176336859; 0.010445587937431222; 9.15631323540678e-17 # MI
0.03620689655172414; 0.27586206896551724; -5.616720348750625; 0.010445587941278811; 2.0589900767869793e-14 # MI
0.03620689655172414; 0.3103448275862069; -6.306375521164484; 0.010445587939308165; 8.282662380443352e-15 # MI
0.03620689655172414; 0.3448275862068966; -6.996030693578195; 0.010445587944504009; -1.8933731667257018e-16 # MI
0.03620689655172414; 0.3793103448275862; -7.685685865991946; 0.010445587944013734; -2.1468957923599348e-15 # MI
0.03620689655172414; 0.41379310344827586; -8.375341038405752; 0.010445587902976783; -2.7038219163365493e-16 # MI
0.03620689655172414; 0.4482758620689655; -9.064996210819594; 0.010445587939556189; 5.670935091279963e-15 # MI
0.03620689655172414; 0.4827586206896552; -9.754651383233318; 0.01044558790503558; 2.4636670896314844e-16 # MI
0.03620689655172414; 0.5172413793103449; -10.444306555647133; 0.010445587941707801; -1.3283960056896167e-16 # MI
0.03620689655172414; 0.5517241379310345; -11.133961728060882; 0.010445587930184574; 1.250421792635473e-13 # MI
0.03620689655172414; 0.5862068965517241; -11.82361690047472; 0.010445587969929448; -3.3306526272011977e-16 # MI
0.03620689655172414; 0.6206896551724138; -12.513272072888453; 0.01044558796615136; -1.7076228971272908e-15 # MI
0.03620689655172414; 0.6551724137931034; -13.202927245302194; 0.010445587988599403; 2.5469026437345066e-14 # MI
0.03620689655172414; 0.6896551724137931; -13.892582417716007; 0.01044558797695383; -6.123828090188732e-13 # MI
0.03620689655172414; 0.7241379310344828; -14.582237590129687; 0.010445587942681245; 9.635665452595411e-13 # MI
0.03620689655172414; 0.7586206896551724; -15.27189276254351; 0.010445587936507739; 4.597142539087358e-13 # MI
0.03620689655172414; 0.7931034482758621; -15.961547934957348; 0.010445587909729825; -1.0029897428039142e-12 # MI
0.03620689655172414; 0.8275862068965517; -16.65120310737111; 0.010445587934258649; -2.4545735575814594e-12 # MI
0.03620689655172414; 0.8620689655172413; -17.335678020708013; 0.06687902319468186; 0.12064046329224698 # SF
0.03620689655172414; 0.896551724137931; -18.1390768895568; 0.20963968075495765; 0.12150431074416775 # SF
0.03620689655172414; 0.9310344827586207; -19.02680704247388; 0.23597086001774348; 0.2980630183119223 # SF
