# Hubbard model DMRG. L=10, N=10, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a> [calculated 2025-02-19T12:02:35.571]
0.014285714285714285; 0.10204081632653061; -1.0277530976711677; 0.0016316468170487486; 1.90140784738826e-13 # MI
0.014285714285714285; 0.12244897959183673; -1.2318347303274961; 0.001631646833657685; -4.960556535131542e-12 # MI
0.014285714285714285; 0.14285714285714285; -1.4359163629773697; 0.0016316468410035867; 1.3805019193597788e-12 # MI
0.014285714285714285; 0.16326530612244897; -1.6399979956351292; 0.001631646840183354; 8.351029166526447e-12 # MI
0.014285714285714285; 0.1836734693877551; -1.8440796282817518; 0.0016316468520232164; 1.9264348642139373e-13 # MI
0.014285714285714285; 0.20408163265306123; -2.0481612609361655; 0.0016316468455834787; -4.070509634652476e-13 # MI
0.014285714285714285; 0.22448979591836735; -2.252242893587253; 0.00163164683580308; -2.7836466660131418e-14 # MI
0.014285714285714285; 0.24489795918367346; -2.4563245262393525; 0.0016316468300894282; 1.1951738329139273e-13 # MI
0.014285714285714285; 0.2653061224489796; -2.660406158891563; 0.0016316468253669836; -9.700875332100521e-15 # MI
0.014285714285714285; 0.2857142857142857; -2.8644877915505456; 0.0016316468565094056; 6.328084847198875e-12 # MI
0.014285714285714285; 0.30612244897959184; -3.0685694241969292; 0.0016316468339754309; -5.9897358763889e-15 # MI
0.014285714285714285; 0.32653061224489793; -3.2726510568524656; 0.0016316468734185463; 3.484151056848729e-14 # MI
0.014285714285714285; 0.3469387755102041; -3.476732689506408; 0.0016316468923376348; -4.771721005914127e-12 # MI
0.014285714285714285; 0.3673469387755102; -3.680814322158231; 0.0016316468836681253; 1.8353480962462477e-13 # MI
0.014285714285714285; 0.3877551020408163; -3.88489595480995; 0.0016316468857653366; -1.4909021851600375e-14 # MI
0.014285714285714285; 0.40816326530612246; -4.088977587462061; 0.0016316468800858797; -8.296552791481471e-16 # MI
0.014285714285714285; 0.42857142857142855; -4.293059220115098; 0.0016316468678339024; 1.5095605829034043e-15 # MI
0.014285714285714285; 0.4489795918367347; -4.497140852767806; 0.001631646901458339; 9.366632001789308e-15 # MI
0.014285714285714285; 0.46938775510204084; -4.701222485420513; 0.0016316468943657902; -3.6014642628016187e-12 # MI
0.014285714285714285; 0.4897959183673469; -4.905304118074127; 0.001631646881187665; -1.0928592753063148e-12 # MI
0.014285714285714285; 0.5102040816326531; -5.109385750727236; 0.0016316468835690934; 2.398154649992192e-12 # MI
0.014285714285714285; 0.5306122448979592; -5.313467383379313; 0.001631646911081086; -3.5564515708851876e-12 # MI
0.014285714285714285; 0.5510204081632653; -5.517549016032711; 0.0016316469359223262; -6.0208198350699236e-12 # MI
0.014285714285714285; 0.5714285714285714; -5.721630648684461; 0.001631646899009187; 1.908228046810308e-13 # MI
0.014285714285714285; 0.5918367346938775; -5.925712281339596; 0.001631646934014075; 6.828930968986033e-12 # MI
0.014285714285714285; 0.6122448979591837; -6.1297939139916515; 0.0016316468946968588; 5.7923741232286346e-11 # MI
0.014285714285714285; 0.6326530612244898; -6.33387554664572; 0.0016316468855157584; -1.3788886437802469e-10 # MI
0.014285714285714285; 0.6530612244897959; -6.537957179296836; 0.0016316469108548226; 3.023817799642765e-11 # MI
0.014285714285714285; 0.673469387755102; -6.7420388119494055; 0.0016316468678698737; -3.83738725726794e-11 # MI
0.014285714285714285; 0.6938775510204082; -6.9461204446047216; 0.0016316468303485543; 5.781015605195766e-11 # MI
0.014285714285714285; 0.7142857142857143; -7.150202077256101; 0.001631646843345269; 3.529877088546143e-11 # MI
0.014285714285714285; 0.7346938775510204; -7.354283709910076; 0.0016316468612045387; -4.331184817887409e-10 # MI
0.014285714285714285; 0.7551020408163265; -7.558365342561445; 0.0016316468990553723; 4.145864356670589e-10 # MI
0.014285714285714285; 0.7755102040816326; -7.7624469752154095; 0.0016316468627366465; 9.39963885651767e-10 # MI
0.014285714285714285; 0.7959183673469388; -7.96652860786825; 0.0016316469151000934; -1.0338954064674062e-9 # MI
0.014285714285714285; 0.8163265306122449; -8.1706102405218; 0.0016316469281170143; 1.7552933349253024e-9 # MI
0.014285714285714285; 0.8367346938775511; -8.374691873174665; 0.0016316468675705575; -7.982051032670089e-10 # MI
0.014285714285714285; 0.8571428571428571; -8.578773505827975; 0.0016316468655683813; -1.6278739942659647e-9 # MI
0.014285714285714285; 0.8775510204081632; -8.782855138480853; 0.001631646879938664; 1.1644993389840345e-9 # MI
0.014285714285714285; 0.8979591836734694; -8.986936771133504; 0.0016316468954775676; 1.2206541938738572e-9 # MI
0.014285714285714285; 0.9183673469387755; -9.191018403789888; 0.0016316468388033467; -4.841039745858243e-10 # MI
0.014285714285714285; 0.9387755102040817; -9.395100036443461; 0.0016316468064785372; -2.2730288533872553e-10 # MI
0.014285714285714285; 0.9591836734693877; -9.611387573985297; 0.17399271394048998; 0.07740180748086892 # SF
0.014285714285714285; 0.9795918367346939; -9.880910075931043; 0.2307242613250695; 0.1863021996872567 # SF
0.014285714285714285; 1.0; -10.1730961196596; 0.25076202673182424; -0.041950861632295215 # SF
0.02142857142857143; 0.0; -0.12755050610370539; 0.24247196565186097; 0.13379555079465785 # SF
0.02142857142857143; 0.02040816326530612; -0.22792297689008123; 0.21178046378723553; 0.20872414345324022 # SF
0.02142857142857143; 0.04081632653061224; -0.39955428388293157; 0.19848251978724973; 0.30149461423025725 # SF
0.02142857142857143; 0.061224489795918366; -0.628765330159466; 0.003668332378580441; 3.110171073646664e-11 # MI
0.02142857142857143; 0.08163265306122448; -0.8328469628247195; 0.0036683320487673754; 3.475659795487247e-11 # MI
0.02142857142857143; 0.10204081632653061; -1.036928595495391; 0.003668332885686132; -1.0301813189104975e-11 # MI
0.02142857142857143; 0.12244897959183673; -1.2410102281750466; 0.0036683332309908057; 1.9254155210369846e-11 # MI
0.02142857142857143; 0.14285714285714285; -1.4450918608276226; 0.003668333284983394; 9.950838084994885e-12 # MI
0.02142857142857143; 0.16326530612244897; -1.6491734934333533; 0.00366833210244244; 1.912737515891306e-12 # MI
0.02142857142857143; 0.1836734693877551; -1.8532551260885517; 0.0036683331587530343; 2.1236100696428925e-12 # MI
0.02142857142857143; 0.20408163265306123; -2.0573367587731854; 0.00366833311900705; 1.9289879596240136e-13 # MI
0.02142857142857143; 0.22448979591836735; -2.2614183913906993; 0.003668333792131273; 2.8464335884819216e-12 # MI
0.02142857142857143; 0.24489795918367346; -2.4655000240732425; 0.003668333533372037; 1.3739177557977006e-12 # MI
0.02142857142857143; 0.2653061224489796; -2.6695816567023454; 0.0036683334956213454; -5.803086430386985e-11 # MI
0.02142857142857143; 0.2857142857142857; -2.8736632893246354; 0.0036683331526712326; -5.873690999907997e-13 # MI
0.02142857142857143; 0.30612244897959184; -3.0777449219921653; 0.0036683334896192576; 5.258723502947358e-15 # MI
0.02142857142857143; 0.32653061224489793; -3.281826554639607; 0.0036683338210219407; 9.552405836811462e-13 # MI
0.02142857142857143; 0.3469387755102041; -3.4859081873037248; 0.0036683330580686846; -2.0910973365743667e-11 # MI
0.02142857142857143; 0.3673469387755102; -3.6899898199515473; 0.0036683336800975574; 3.558696490307184e-12 # MI
0.02142857142857143; 0.3877551020408163; -3.8940714525911155; 0.003668333966745818; -3.658657137489364e-12 # MI
0.02142857142857143; 0.40816326530612246; -4.09815308524102; 0.003668333998007922; 2.1711974393567236e-12 # MI
0.02142857142857143; 0.42857142857142855; -4.302234717893131; 0.003668333537534263; -5.320041179703686e-16 # MI
0.02142857142857143; 0.4489795918367347; -4.506316350535084; 0.003668334230735093; -8.808629186825049e-13 # MI
0.02142857142857143; 0.46938775510204084; -4.710397983187152; 0.003668334024724107; -7.458638965990749e-12 # MI
0.02142857142857143; 0.4897959183673469; -4.914479615839238; 0.003668334191737843; 5.220749837068176e-11 # MI
0.02142857142857143; 0.5102040816326531; -5.118561248498759; 0.003668334322157296; 5.719605735202787e-12 # MI
0.02142857142857143; 0.5306122448979592; -5.322642881150533; 0.003668333922764777; -1.9563771316372865e-11 # MI
0.02142857142857143; 0.5510204081632653; -5.526724513805284; 0.0036683336782770137; -3.5913946945659545e-11 # MI
0.02142857142857143; 0.5714285714285714; -5.730806146450565; 0.003668334282804331; -1.0222623062779057e-10 # MI
0.02142857142857143; 0.5918367346938775; -5.934887779110213; 0.0036683338450860248; -7.216882976181695e-11 # MI
0.02142857142857143; 0.6122448979591837; -6.138969411764761; 0.003668334523603045; 1.1856280756722437e-10 # MI
0.02142857142857143; 0.6326530612244898; -6.3430510444030075; 0.0036683340207896986; -3.2032915238571095e-10 # MI
0.02142857142857143; 0.6530612244897959; -6.547132677053964; 0.003668334026575071; 3.7587922401567054e-10 # MI
0.02142857142857143; 0.673469387755102; -6.7512143097150075; 0.0036683340003147435; -4.5399083290738553e-11 # MI
0.02142857142857143; 0.6938775510204082; -6.95529594238276; 0.0036683331878415437; 2.1641325161211624e-9 # MI
0.02142857142857143; 0.7142857142857143; -7.15937757501295; 0.0036683337757019707; -1.724330890050777e-9 # MI
0.02142857142857143; 0.7346938775510204; -7.363459207670735; 0.0036683344061581025; 5.458671251664536e-9 # MI
0.02142857142857143; 0.7551020408163265; -7.567540840331494; 0.0036683345267305434; -5.477945656242659e-9 # MI
0.02142857142857143; 0.7755102040816326; -7.771622472984735; 0.003668334008053664; -9.538715308276699e-9 # MI
0.02142857142857143; 0.7959183673469388; -7.975704105629459; 0.003668333964605086; 4.877273969105889e-9 # MI
0.02142857142857143; 0.8163265306122449; -8.179785738274095; 0.003668333641286381; -3.4788864353141025e-9 # MI
0.02142857142857143; 0.8367346938775511; -8.3838673709351; 0.0036683342711383293; 2.0035510371779317e-9 # MI
0.02142857142857143; 0.8571428571428571; -8.587949003577135; 0.0036683339922305436; -7.003886613092399e-9 # MI
0.02142857142857143; 0.8775510204081632; -8.792030636244798; 0.0036683335633920233; -1.0286153871941843e-8 # MI
0.02142857142857143; 0.8979591836734694; -8.996112268904175; 0.003668334063354539; -2.5422347610110566e-9 # MI
0.02142857142857143; 0.9183673469387755; -9.199146159811592; 0.10385809218107522; 0.22380830884794967 # SF
0.02142857142857143; 0.9387755102040817; -9.434261441335828; 0.16333951644478129; 0.12752022727758985 # SF
0.02142857142857143; 0.9591836734693877; -9.692704857381472; 0.233441572120892; -0.35041568663640565 # SF
0.02142857142857143; 0.9795918367346939; -9.974751142804037; 0.24523651349611852; -0.17236063651660516 # SF
0.02142857142857143; 1.0; -10.274629391110368; 0.2538689083502752; 0.3448550186817632 # SF
0.02857142857142857; 0.0; -0.1711668494726933; 0.2441010238415765; -0.25321344322546324 # SF
0.02857142857142857; 0.02040816326530612; -0.2741425088742078; 0.2511103885829523; -0.12675411758403438 # SF
0.02857142857142857; 0.04081632653061224; -0.43096000459248174; 0.2470046485044804; 0.012177353875933852 # SF
0.02857142857142857; 0.061224489795918366; -0.6416004606832137; 0.006514408992956966; -7.395385295032041e-9 # MI
0.02857142857142857; 0.08163265306122448; -0.845682061383918; 0.006514356457486548; -1.4204607663553758e-9 # MI
0.02857142857142857; 0.10204081632653061; -1.0497636744291419; 0.006514303349039796; -8.898438382688396e-9 # MI
0.02857142857142857; 0.12244897959183673; -1.2538453012826163; 0.006514310469024842; -3.17726502884672e-8 # MI
0.02857142857142857; 0.14285714285714285; -1.4579269327541398; 0.006514311472256118; -1.0457587128794304e-9 # MI
0.02857142857142857; 0.16326530612244897; -1.6620085684203252; 0.006514297709144357; -1.7779139577140634e-8 # MI
0.02857142857142857; 0.1836734693877551; -1.8660902019166183; 0.006514303203164262; 4.063194569721186e-8 # MI
0.02857142857142857; 0.20408163265306123; -2.0701718318325835; 0.006514318304425504; 4.9734208590548195e-8 # MI
0.02857142857142857; 0.22448979591836735; -2.2742534794952496; 0.006514327591110369; -4.076488258305842e-9 # MI
0.02857142857142857; 0.24489795918367346; -2.4783351048111517; 0.0065143032489531905; 3.9114729194359213e-10 # MI
0.02857142857142857; 0.2653061224489796; -2.682416733334578; 0.006514277365637811; 8.339344604709909e-10 # MI
