# Hubbard model DMRG. L=5, N=5, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a>; k[calculated 2025-02-19T12:13:51.733]
0.006666666666666667; 0.5777777777777777; -2.8895999446740226; 0.00035550799698214064; -2.2221533905915742e-11; -2.198241588757808e-13 # MI
0.006666666666666667; 0.6; -3.0007110557851377; 0.00035550799699057833; -2.3127275874950848e-11; 7.993605777301051e-14 # MI
0.013333333333333334; 0.4; -2.0028435583985034; 0.0014214540309795964; -3.4175662236727194e-12; NaN # MI
0.013333333333333334; 0.4222222222222222; -2.113954669509723; 0.0014214540587407232; 3.8931716995143355e-18; 44.99999999996939 # MI
0.013333333333333334; 0.4444444444444444; -2.2250657806204313; 0.0014214540386410235; 5.243455936251206e-10; -2.334132886971173e-11 # MI
0.013333333333333334; 0.4666666666666667; -2.3361768917315207; 0.001421454045528403; -5.782175081385895e-10; -4.9960036108115844e-14 # MI
0.013333333333333334; 0.4888888888888889; -2.4472880028426367; 0.0014214540461914282; -2.3380828343298314e-11; 1.4328538355798535e-11 # MI
0.013333333333333334; 0.5111111111111111; -2.5583991139536915; 0.0014214540531256592; -6.3797272468703e-10; -1.4218626276369735e-11 # MI
0.013333333333333334; 0.5333333333333333; -2.6695102250647764; 0.0014214540501271689; 6.52873418079333e-10; 6.994405055136163e-14 # MI
0.013333333333333334; 0.5555555555555556; -2.780621336175862; 0.001421454054801874; -6.84097654257169e-10; 4.996003610811533e-14 # MI
0.013333333333333334; 0.5777777777777777; -2.8917324472869486; 0.0014214540565233857; 7.117340709915667e-10; 8.992806499460768e-14 # MI
0.013333333333333334; 0.6; -3.0028435583980384; 0.0014214540558150635; 7.33575092065565e-10; 1.4988010832434438e-13 # MI
0.02; 0.4; -2.006395507404148; 0.003196050476865775; -8.591397723446179e-15; NaN # MI
0.02; 0.4222222222222222; -2.117506618514357; 0.00319605051104066; 4.361668638681206e-12; 44.99999999977667 # MI
0.02; 0.4444444444444444; -2.2286177296248844; 0.003196050579417964; 1.251725203791211e-12; 5.3357318562942695e-12 # MI
0.02; 0.4666666666666667; -2.3397288407351446; 0.003196050589345578; -7.502694523429984e-12; 6.6546768095335646e-12 # MI
0.02; 0.4888888888888889; -2.45083995184491; 0.0031960505311745546; -4.542574345842986e-9; -1.5336731884418494e-10 # MI
0.02; 0.5111111111111111; -2.561951062955455; 0.003196050493194047; -2.642018888026544e-9; 1.0994205545861759e-10 # MI
