# Hubbard model DMRG. L=12, N=12, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance, <a_i> [calculated 2025-02-11T17:29:05.045 @site  i=6]
0.09210526315789473, 0.43157894736842106, -5.548014406197598, 0.06595760348455659, -3.024215021397445e-7 # MI
0.09210526315789473, 0.4789473684210526, -6.116435458639472, 0.06595760300398057, -9.440162348151511e-6 # MI
0.09210526315789473, 0.5263157894736842, -6.684823092186497, 0.06591982490917325, 0.002758956409070743 # MI
0.09210526315789473, 0.5736842105263158, -7.242295645786843, 0.07740208618937117, 0.18943851889159694 # MI
0.09210526315789473, 0.6210526315789474, -7.820740137175516, 0.06918152975886116, -0.10092424998283286 # MI
0.09210526315789473, 0.6684210526315789, -8.388697315127173, 0.14924054243366247, -0.12714507356320479 # MI
0.09210526315789473, 0.7157894736842105, -9.026801102030605, 0.20929544799540767, -0.16614583094668828 # MI
0.09210526315789473, 0.7631578947368421, -9.684952961950678, 0.27426259528047936, 0.14944988415245822 # MI
0.09210526315789473, 0.8105263157894737, -10.440395302603145, 0.278618984688072, -0.13972847829105953 # MI
0.09210526315789473, 0.8578947368421053, -11.203576267912505, 0.29177340326302037, 0.439748972086385 # MI
0.09210526315789473, 0.9052631578947369, -12.013034047100877, 0.300821735753368, 0.2843172264963027 # SF
0.09210526315789473, 0.9526315789473684, -12.866396274105494, 0.3094593248379893, -0.00014220852346836924 # SF
0.09210526315789473, 1.0, -13.75793807263743, 0.3128923382515074, -4.2099024987985645e-6 # SF
0.11052631578947368, 0.1, -1.772820776798362, 0.1925650081823378, 0.13959933785675768 # MI
0.11052631578947368, 0.14736842105263157, -2.290612284999184, 0.15771227039399927, -0.3155439583332605 # MI
0.11052631578947368, 0.19473684210526315, -2.800328402861276, 0.14097392072195547, -0.32855521182476494 # MI
0.11052631578947368, 0.24210526315789474, -3.4326086479794133, 0.0950201062238547, -0.06899994730848105 # MI
0.11052631578947368, 0.2894736842105263, -4.002303606404285, 0.09356179914965956, 0.0038913294501469677 # MI
0.11052631578947368, 0.3368421052631579, -4.570743050569191, 0.09360036518243509, -0.0003556789993835667 # MI
0.11052631578947368, 0.38421052631578945, -5.139168463151476, 0.09360006350055383, -3.164190616736722e-6 # MI
0.11052631578947368, 0.43157894736842106, -5.707589522199539, 0.09360010761278614, -5.604431812059802e-5 # MI
0.11052631578947368, 0.4789473684210526, -6.27601048819595, 0.09359989693278958, -0.00036876457994420783 # MI
0.11052631578947368, 0.5263157894736842, -6.844413339510785, 0.09363322617132286, 0.01023881847669049 # MI
0.11052631578947368, 0.5736842105263158, -7.411385817029942, 0.10054512117350223, -0.15670797100972345 # MI
0.11052631578947368, 0.6210526315789474, -7.981934142290994, 0.22109057278939948, 0.14080946288668664 # MI
0.11052631578947368, 0.6684210526315789, -8.639320002609571, 0.2279109304970255, 0.33018049207121536 # MI
0.11052631578947368, 0.7157894736842105, -9.315097233585064, 0.27277223435249276, 0.03798275097353464 # MI
0.11052631578947368, 0.7631578947368421, -10.03506756983284, 0.29626797545799466, 0.008425117855105836 # MI
0.11052631578947368, 0.8105263157894737, -10.797140619817084, 0.298069115224177, 0.14153311069822846 # MI
0.11052631578947368, 0.8578947368421053, -11.596268430208852, 0.3173044806874219, 3.885303397773212e-5 # SF
