# Hubbard model DMRG. L=5, N=5, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a>; k[calculated 2025-02-19T14:01:20.225]
0.0; 0.4489795918367347; -2.2448979591836737; 0.0; 0.0; 0.0 # MI
0.0; 0.46938775510204084; -2.3469387755102042; 0.0; 0.0; 0.0 # MI
0.0; 0.4897959183673469; -2.4489795918367347; 0.0; 0.0; 0.0 # MI
0.0; 0.5102040816326531; -2.551020408163265; 0.0; 0.0; 0.0 # MI
0.0; 0.5306122448979592; -2.6530612244897966; 0.0; 0.0; 0.0 # MI
0.0; 0.5510204081632653; -2.7551020408163263; 0.0; 0.0; 0.0 # MI
0.0; 0.5714285714285714; -2.8571428571428568; 0.0; 0.0; 0.0 # MI
0.0; 0.5918367346938775; -2.9591836734693877; 0.0; 0.0; 0.0 # MI
0.0; 0.6122448979591837; -3.0612244897959187; 0.0; 0.0; 0.0 # MI
0.0; 0.6326530612244898; -3.163265306122449; 0.0; 0.0; 0.0 # MI
0.0; 0.6530612244897959; -3.2653061224489788; 0.0; 0.0; 0.0 # MI
0.0; 0.673469387755102; -3.3673469387755106; 0.0; 0.0; 0.0 # MI
0.0; 0.6938775510204082; -3.4693877551020402; 0.0; 0.0; 0.0 # MI
0.0; 0.7142857142857143; -3.571428571428572; 0.0; 0.0; 0.0 # MI
0.0; 0.7346938775510204; -3.6734693877551017; 0.0; 0.0; 0.0 # MI
0.0; 0.7551020408163265; -3.775510204081632; 0.0; 0.0; 0.0 # MI
0.0; 0.7755102040816326; -3.877551020408163; 0.0; 0.0; 0.0 # MI
0.0; 0.7959183673469388; -3.979591836734694; 0.0; 0.0; 0.0 # MI
0.0; 0.8163265306122449; -4.081632653061225; 0.0; 0.0; 0.0 # MI
0.0; 0.8367346938775511; -4.183673469387755; 0.0; 0.0; 0.0 # MI
0.0; 0.8571428571428571; -4.2857142857142865; 0.0; 0.0; 0.0 # MI
