# Hubbard model DMRG. L=20, N=20, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance [calculated 2025-02-11T11:49:08.416 @site  i=10]
0.19444444444444445, 0.4, -10.721615973169431, 0.25305261544710844 # MI
0.19444444444444445, 0.5, -13.00086892106854, 0.3119045312227109 # MI
0.19444444444444445, 0.6, -15.543813931193629, 0.36194147184624237 # MI
0.19444444444444445, 0.7, -18.297774683486335, 0.4005063109541114 # MI
0.19444444444444445, 0.8, -21.23875333588795, 0.41967213830577244 # MI
0.19444444444444445, 0.9, -24.41176742796858, 0.4354761107569951 # SF
0.19444444444444445, 1.0, -27.791344424078556, 0.4453644533643293 # SF
0.23333333333333334, 0.0, -4.127852102936601, 0.33377033894642216 # SF
0.23333333333333334, 0.1, -5.804143975851433, 0.32210869185663404 # MI
0.23333333333333334, 0.2, -7.80414398377019, 0.32210872431605186 # MI
0.23333333333333334, 0.3, -9.804143991505452, 0.3221087406176204 # MI
0.23333333333333334, 0.4, -12.057199965198508, 0.3679354363803804 # MI
0.23333333333333334, 0.5, -14.49507561821505, 0.3988388763582489 # MI
0.23333333333333334, 0.6, -17.155087934277567, 0.4260793420439908 # MI
0.23333333333333334, 0.7, -19.991779389826384, 0.4441248188207032 # MI
0.23333333333333334, 0.8, -23.099326860417115, 0.4711181385903491 # MI
0.23333333333333334, 0.9, -26.407264674223512, 0.48586830363196176 # SF
0.23333333333333334, 1.0, -29.914235369893355, 0.49604350803685326 # SF
0.2722222222222222, 0.0, -5.173931360817589, 0.36728771863070053 # SF
0.2722222222222222, 0.1, -6.986704384572305, 0.3745960374154975 # MI
0.2722222222222222, 0.2, -8.986704403294443, 0.37459604018861925 # MI
0.2722222222222222, 0.3, -11.161076510212867, 0.4028701289521077 # MI
0.2722222222222222, 0.4, -13.500616973984673, 0.4274184692880254 # MI
0.2722222222222222, 0.5, -16.122779715542812, 0.4553662229897306 # MI
0.2722222222222222, 0.6, -18.920002954487863, 0.4815996713436137 # MI
0.2722222222222222, 0.7, -21.92097575495617, 0.5011460346883823 # MI
0.2722222222222222, 0.8, -25.120096248527886, 0.5170848527754401 # MI
0.2722222222222222, 0.9, -28.546561841237658, 0.5289896161713705 # SF
0.2722222222222222, 1.0, -32.18422494585606, 0.5435241161071476 # SF
0.3111111111111111, 0.0, -6.235877962742767, 0.41374899769449813 # SF
0.3111111111111111, 0.1, -8.23587796805093, 0.4137489802054308 # SF
0.3111111111111111, 0.2, -10.235877980741709, 0.4137489592107193 # MI
0.3111111111111111, 0.3, -12.632582991071203, 0.4560348020119236 # MI
0.3111111111111111, 0.4, -15.108601899805919, 0.4786053963202539 # MI
0.3111111111111111, 0.5, -17.87958828531588, 0.5091045217207504 # MI
0.3111111111111111, 0.6, -20.823181889038153, 0.530084800769417 # MI
0.3111111111111111, 0.7, -23.960639529031788, 0.5481532957041244 # MI
0.3111111111111111, 0.8, -27.27400973415034, 0.5595294889444444 # SF
0.3111111111111111, 0.9, -30.829533615223603, 0.5739154457167501 # SF
0.3111111111111111, 1.0, -34.567944708826914, 0.5857600657353346 # SF
0.35, 0.0, -7.5305576011701705, 0.44463371804346474 # SF
0.35, 0.1, -9.530557619398742, 0.44463372180850325 # SF
0.35, 0.2, -11.811109268870576, 0.4816319720048112 # MI
0.35, 0.3, -14.18765704947272, 0.49326495621301514 # MI
0.35, 0.4, -16.866432261433513, 0.5225715094381369 # MI
0.35, 0.5, -19.72875238764899, 0.5447392530090318 # MI
0.35, 0.6, -22.803162481550544, 0.5672182010413951 # MI
0.35, 0.7, -26.056667374556792, 0.5829106292187993 # MI
0.35, 0.8, -29.527352518168154, 0.599551145069448 # SF
0.35, 0.9, -33.20979105755322, 0.6114610442011528 # SF
0.35, 1.0, -37.05987483980777, 0.6230797030914381 # SF
