# J, μUp(∞), μDown(∞), error_μUp(∞), error_μDown(∞), chi2_plus, chi2_minus
0.2357142857142857,0.2061761360177956,1.0177631251797223,9.181532518996014e-5,0.0006875956667618362,1.0761112536590743e-7,6.035219666614929e-6
0.24285714285714285,0.1921038654564932,1.025802653074652,6.153965056167735e-5,0.000691785079523844,4.8343364408706084e-8,6.108987006058889e-6
0.25,0.17861594108875314,1.0345673524361287,5.7747824030990796e-5,0.0006699547909329573,4.2569452883317523e-8,5.729514383134093e-6
0.2571428571428571,0.1656002681610029,1.0439443085705271,7.259659075562302e-5,0.0006290034652016962,6.727586211200683e-8,5.050482792054664e-6
0.2642857142857143,0.15294985640122624,1.0538263487549224,9.83223635932676e-5,0.0005762453490628269,1.234046259194585e-7,4.238787900449183e-6
0.2714285714285714,0.1405708223061116,1.0641194638172928,0.00012879568122249732,0.0005180312128196019,2.1175292626393293e-7,3.4256159777991757e-6
0.2785714285714286,0.1283848730205529,1.0747452050820576,0.0001594416645914763,0.00045908529527567677,3.2451177453656315e-7,2.6903797429529503e-6
0.2857142857142857,0.11632982758341268,1.0856405266430107,0.00018716373055240596,0.0004025181464739371,4.4716747321764437e-7,2.068224831830485e-6
0.29285714285714287,0.10435772442063913,1.0967561626378228,0.00021033669963005985,0.0003500600544265435,5.647508978052491e-7,1.56427077545917e-6
0.3,0.0924319911965185,1.1080535277003842,0.0002281822078761122,0.00030253988695271505,6.646459698603112e-7,1.1684014848271592e-6
0.30714285714285716,0.08052578610670053,1.1195032850833226,0.00024070606825605547,0.0002600709400039598,7.39606804066701e-7,8.633968790194612e-7
0.3142857142857143,0.06861931138496917,1.131082693082017,0.00024827593882231265,0.00022246842886419998,7.868574937965528e-7,6.317766854983236e-7
0.32142857142857145,0.056698042871054656,1.1427740281830492,0.00025142683620702817,0.00018932121508260366,8.069564192953151e-7,4.575361211258542e-7
0.32857142857142857,0.04475183208953155,1.1545635570666726,0.00025077018259719646,0.00016015648404748143,8.027468536463112e-7,3.274280426155797e-7
0.3357142857142857,0.032773276668145425,1.1664402596606527,0.00024695225983313205,0.00013449437707508812,7.784896250014872e-7,2.3090592408550086e-7
0.34285714285714286,0.020757428629571,1.178395403506896,0.0002405226837587352,0.0001118855905628541,7.384802786146214e-7,1.5979939723470314e-7
0.35,0.00870100526708144,1.1904218565878506,0.00023203949606224778,9.19003687153142e-5,6.873068097759818e-7,1.0781056629893047e-7
